year,catch,catch_commercial,catch_charter,catch_recreational,index,biomass,recruitment_multiplier_absolute,captured_public_cpue_index,captured_index_north_dropline_monthly,captured_index_north_dropline_daily,captured_index_north_handline_monthly,captured_index_north_handline_daily,captured_index_south_dropline_monthly,captured_index_south_handline_monthly,captured_index_south_handline_daily,captured_index_source,dataset_status
1995,337.8787878787879,158.79828326180257,19.53125,159.5492546169853,,,1.171186917870357,,0.35,,1.3615384615384616,,0.35,0.6038461538461538,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1996,378.7878787878788,187.98283261802567,20.546875,170.258171169853,,,1.111043658427353,,0.4307692307692308,,0.9653846153846154,,0.3269230769230769,0.6961538461538461,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1997,407.5757575757576,224.0343347639485,21.484375,162.05704781180907,,,0.7957337851875576,,0.45,,1.265384615384615,,0.4115384615384615,0.4038461538461538,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1998,395.45454545454544,199.1416309012876,22.5,173.81291455325788,,,0.5699076288191786,,0.4961538461538461,,1.3576923076923078,,0.473076923076923,0.4653846153846154,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
1999,398.4848484848485,191.4163090128756,23.515625,183.5529144719729,,,0.40817005816806323,,0.3615384615384615,,1.1576923076923078,,0.4038461538461538,0.3038461538461538,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2000,424.24242424242425,193.1330472103004,24.140625,206.96875203212383,,,0.5167609091737017,,0.3192307692307692,,1.2692307692307692,,0.4346153846153846,0.4115384615384615,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2001,468.1818181818182,234.33476394849785,24.140625,209.7064292333204,,,0.6542416130388398,,0.5115384615384615,,1.5423076923076924,,0.3576923076923077,0.1576923076923077,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2002,242.4242424242424,241.2017167381974,24.140625,0.0,,,0.828298117433233,,0.5461538461538461,,1.5423076923076924,,0.3807692307692307,0.4269230769230769,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2003,227.27272727272725,233.4763948497854,20.625,0.0,,,0.6916175624709707,,0.4192307692307692,,1.2423076923076923,,0.4192307692307692,0.4423076923076923,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2004,234.84848484848484,238.62660944206007,18.359375,0.0,,,0.5774911745550895,,0.3538461538461538,,0.9730769230769232,,0.4769230769230769,0.5115384615384615,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2005,469.6969696969697,198.2832618025751,20.0,251.41370789439452,,,0.48219720664339644,,0.4576923076923077,,1.0884615384615384,,0.4307692307692308,0.5307692307692308,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2006,453.030303030303,174.2489270386266,20.0,258.78137599167644,,,0.6392213952359709,,0.4346153846153846,,0.5346153846153846,,0.3423076923076923,0.3961538461538461,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2007,410.60606060606057,139.91416309012874,16.953125,253.73877251593183,,,0.8473794258820744,,0.4538461538461538,,0.6423076923076924,,0.2961538461538461,,,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2008,337.8787878787879,92.7038626609442,12.5,232.67492521784368,1.0,,1.1233226809361765,1.0,,1.0038461538461538,,0.9961538461538462,,,0.9961538461538462,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2009,284.8484848484848,62.66094420600858,10.703125,211.48441564247625,0.8630185109372791,,1.0972049408500057,0.9944663957189483,,1.0269230769230768,,0.9961538461538462,,,0.9576923076923076,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2010,203.03030303030303,67.81115879828326,12.890625,122.32851923201976,0.8083954462565149,,1.07169444956134,0.9553079049545375,,1.0038461538461538,,0.8961538461538462,,,0.9653846153846154,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2011,184.84848484848484,75.53648068669527,12.890625,96.42137916178956,0.8375053366450881,,1.046777088271966,1.0291973133215635,,1.25,,0.8038461538461539,,,1.0807692307692307,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2012,166.66666666666666,71.24463519313305,12.734375,82.68765647353361,0.5823057066120337,,0.9957110277721359,1.0425027286107065,,1.2576923076923077,,0.8423076923076923,,,1.0653846153846154,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2013,165.15151515151516,72.1030042918455,11.953125,81.09538585966966,0.6102082236138548,,0.9471361782131921,0.9937928203328916,,1.1192307692307693,,0.8769230769230769,,,0.9961538461538462,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2014,156.06060606060606,59.2274678111588,12.03125,84.80188824944727,0.7194018102297833,,0.9009310081534835,0.9295956545622974,,1.1423076923076922,,0.7884615384615384,,,0.8884615384615384,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2015,157.57575757575756,44.63519313304721,13.125,99.81556444271035,0.881850651433886,,0.6699621109444431,0.917677180969294,,1.0961538461538465,,0.8115384615384615,,,0.8653846153846154,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2016,162.12121212121212,33.47639484978541,14.921875,113.72294227142672,0.8345796093703095,,0.4982059958409912,0.8448483994581519,,1.0115384615384615,,0.8,,,0.7423076923076923,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2017,169.6969696969697,36.90987124463519,13.125,119.6620984523345,0.7926152727738014,,0.37048246495912146,0.8441772395343109,,0.9192307692307692,,0.8692307692307693,,,0.75,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2018,124.24242424242424,43.776824034334766,12.421875,68.04372520808947,0.6580918886840179,,0.4934544561067829,0.8141131976520184,,1.0346153846153847,,0.6653846153846154,,,0.7807692307692308,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2019,183.3333333333333,48.92703862660944,11.875,122.53129470672388,0.8020372334744753,,0.6572437923033904,0.8362775207154552,,0.9653846153846154,,0.7230769230769231,,,0.8346153846153846,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2020,180.30303030303028,54.93562231759657,9.6875,115.67990798543372,0.9877114276900755,,0.8753987266210126,0.8219718515697311,,0.9192307692307692,,0.7346153846153847,,,0.8192307692307692,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2021,160.6060606060606,38.62660944206009,9.296875,112.68257616400052,0.9258609455033529,,1.0,0.7816140660052886,,0.85,,0.6961538461538461,,,0.8038461538461539,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2022,156.06060606060606,39.48497854077253,7.265625,109.31000251983352,1.017266547239746,,1.0,0.7103496615906886,,0.7038461538461539,,0.6192307692307693,,,0.8192307692307692,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2023,140.9090909090909,39.48497854077253,5.3125,96.11161236831838,1.0371885548209325,,1.0,0.7715768626924485,,0.7807692307692308,,0.6653846153846154,,,0.8807692307692307,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
2024,136.36363636363637,40.343347639484975,4.0625,91.95778872415136,0.5060027100774023,,1.0,0.7556944142766272,,0.6884615384615385,,0.7346153846153847,,,0.85,RAR2 Figure 3.17,controlled_dpird_like_synthetic_conditioned_recovery_test
