year,digitised_dpird_relative_spawning_biomass,synthetic_operating_truth_depletion,synthetic_spawning_biomass_t,synthetic_total_biomass_t,synthetic_survey_biomass_t,synthetic_fishing_mortality,synthetic_log_recruitment_deviation,captured_north_relative_spawning_biomass,captured_south_relative_spawning_biomass,captured_north_log_recruitment_deviation,captured_south_log_recruitment_deviation,truth_status
2012,0.1104477611940298,0.10866982203892354,560.5835685342895,1279.6762338780557,1098.048307583055,0.22117326125092518,-0.004298196253090018,0.0895522388059701,0.1373134328358209,-0.6082036775106082,0.4879773691654879,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2013,0.1104477611940298,0.11038873814940531,569.4507600797014,1312.242147506505,1112.8349189930552,0.22424071000753543,-0.05431239654268507,0.0895522388059701,0.1402985074626865,-0.8910891089108911,0.3041018387553041,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2014,0.1164179104477611,0.11430902512648732,589.673931720711,1358.3247777503675,1149.563725912416,0.20973528129056263,-0.10432659683228011,0.0895522388059701,0.1492537313432835,-0.3748231966053748,0.099009900990099,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2015,0.1194029850746268,0.12068482546965333,622.5641016094033,1422.3129420423581,1212.6254525334678,0.20002862240042418,-0.40053411902537306,0.0865671641791044,0.1582089552238806,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2016,0.1223880597014925,0.12762269205174237,658.3537434219132,1488.1808115874508,1283.2263372617103,0.18961640173901628,-0.6967416412184659,0.0835820895522388,0.1701492537313433,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2017,0.1313432835820895,0.13419838666120493,692.2750868142294,1548.6640905035263,1351.3310344911574,0.18339071029228649,-0.9929491634115588,0.0835820895522388,0.191044776119403,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2018,0.1462686567164179,0.13957410750263305,720.0062518809444,1593.9479593752876,1407.6612677829753,0.12285508201281914,-0.7063247118916058,0.0925373134328358,0.2149253731343283,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2019,0.1492537313432835,0.14941411540249946,770.7668645277281,1681.764115241545,1509.621082114702,0.16827372979386723,-0.41970026037165287,0.0955223880597015,0.2208955223880597,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2020,0.1522388059701492,0.15131196549531237,780.5571039668902,1681.7829798978373,1531.192178995778,0.15930087106650603,-0.13307580885169987,0.0985074626865671,0.2208955223880597,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2021,0.1552238805970149,0.1512715239226652,780.3484822843814,1664.556107810434,1533.8435467488737,0.13694238362521105,0.0,0.1014925373134328,0.2208955223880597,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2022,0.1522388059701492,0.1509988616973245,778.941928372558,1655.780492082354,1534.7379800693102,0.12933530109697244,0.0,0.1014925373134328,0.2149253731343283,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2023,0.1462686567164179,0.14949919659539732,771.2057639188833,1648.6833030580196,1522.4315045719366,0.1154001417168331,0.0,0.1014925373134328,0.2029850746268656,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
2024,0.1492537313432835,0.1492395606000156,769.8664070479491,1665.8188543581618,1520.639773434998,0.11221590054921649,0.0,0.1074626865671641,0.2,,,synthetic_operating_truth_conditioned_to_digitised_dpird_central_trajectory
